Command: lake env lean Audit.lean
Exit: 0
PASS Aiyagari1994.previousHistory_extend
PASS Aiyagari1994.history_integral_step
PASS Aiyagari1994.actionResources
PASS Aiyagari1994.FeasiblePlan
PASS Aiyagari1994.planResources
PASS Aiyagari1994.planConsumption
PASS Aiyagari1994.planResources_measurable
PASS Aiyagari1994.planConsumption_measurable
PASS Aiyagari1994.planConsumption_coe
PASS Aiyagari1994.planConsumption_budget
PASS Aiyagari1994.flowUtility
PASS Aiyagari1994.utilityBound
PASS Aiyagari1994.utilityBound_spec
PASS Aiyagari1994.utilityBound_nonneg
PASS Aiyagari1994.flowUtility_measurable
PASS Aiyagari1994.flowUtility_bound
PASS Aiyagari1994.flowUtility_integrable
PASS Aiyagari1994.expectedFlow
PASS Aiyagari1994.expectedFlow_bound
PASS Aiyagari1994.finiteUtility
PASS Aiyagari1994.expectedTerminalValue
PASS Aiyagari1994.terminalValue_integrable
PASS Aiyagari1994.expectedTerminalValue_bound
PASS Aiyagari1994.lifetimeUtility
PASS Aiyagari1994.discountedFlow_abs_summable
PASS Aiyagari1994.discountedFlow_summable
PASS Aiyagari1994.finiteUtility_tendsto
PASS Aiyagari1994.planContinuation
PASS Aiyagari1994.planContinuation_integrable
PASS Aiyagari1994.expectedTerminalValue_step
PASS Aiyagari1994.plan_bellman_inequality
PASS Aiyagari1994.expected_bellman_inequality
PASS Aiyagari1994.expectedTerminalValue_zero
PASS Aiyagari1994.finiteUtility_zero
PASS Aiyagari1994.finiteUtility_succ
PASS Aiyagari1994.finiteHorizon_verification
PASS Aiyagari1994.canonicalResources
PASS Aiyagari1994.canonicalResources_measurable
PASS Aiyagari1994.canonicalAction
PASS Aiyagari1994.canonicalAction_resources
PASS Aiyagari1994.canonicalPlan
PASS Aiyagari1994.canonicalPlan_action
PASS Aiyagari1994.canonical_bellman_equality
PASS Aiyagari1994.canonical_expected_bellman_equality
PASS Aiyagari1994.canonical_finiteHorizon_verification
PASS Aiyagari1994.discountedTerminalValue_bound
PASS Aiyagari1994.discountedTerminalValue_tendsto
PASS Aiyagari1994.lifetimeUtility_le_value
PASS Aiyagari1994.canonical_lifetimeUtility_eq_value
PASS Aiyagari1994.canonicalPolicy_lifetime_optimal
PASS Aiyagari1994.original_shifted_trajectory_budget_iff
PASS Aiyagari1994.plan_original_budget_step
PASS Aiyagari1994.plan_original_budget_initial
PASS Aiyagari1994.FeasiblePlan.action
PASS Aiyagari1994.FeasiblePlan.measurable_action
PASS Aiyagari1994.FeasiblePlan.feasible
PASS Aiyagari1994.nonnegativeExtension
PASS Aiyagari1994.NNRealConcave.extension
PASS Aiyagari1994.concave_four_point
PASS Aiyagari1994.assetPolicy_monotone
PASS Aiyagari1994.consumptionPolicy_monotone
PASS Aiyagari1994.policies_order_lipschitz
PASS Aiyagari1994.valueExtension
PASS Aiyagari1994.valueExtension_concave
PASS Aiyagari1994.valueExtension_continuous
